from,https://tools.miku.ac/cpu_rank/,https://tools-api-cn.hazymoon.vip/cpu_rank,,
,name,score,percentage,
945,Intel Core i7-5675C @ 3.10GHz,6089,7,
946,Intel Xeon E3-1505L v6 @ 2.20GHz,6088,7,
947,Intel Core i7-4860HQ @ 2.40GHz,6084,7,
948,Intel Core i3-8300 @ 3.70GHz,6080,7,
949,Intel Xeon E5-2658 @ 2.10GHz,6073,7,
950,Intel Xeon E3-1240L v5 @ 2.10GHz,6072,7,
951,Intel Core i3-9300T @ 3.20GHz,6071,7,
952,Intel Core i5-7500 @ 3.40GHz,6071,7,
953,Intel Core i7-4810MQ @ 2.80GHz,6070,7,
954,AMD Opteron 6344,6069,7,
955,Intel Core i7-4770T @ 2.50GHz,6038,7,
956,AMD Ryzen 3 PRO 2300U,6025,7,
957,Intel Core i7-4900MQ @ 2.80GHz,6024,7,
958,AMD Ryzen 3 PRO 3300U,5991,7,
959,Intel Core i5-8265UC @ 1.60GHz,5988,7,
960,Intel Xeon E3-1265L v3 @ 2.50GHz,5987,7,
961,Intel Core i7-3840QM @ 2.80GHz,5986,7,
962,AMD FX-9370 Eight-Core,5980,7,
963,AMD Athlon X4 860K Quad Core,5978,7,
964,Intel Xeon E5-2609 v4 @ 1.70GHz,5974,7,
965,AMD FX-8350 Eight-Core,5957,7,
966,Intel Core i7 960 @ 3.20GHz,5952,7,
967,Intel Xeon E3-1275L v3 @ 2.70GHz,5949,7,
968,Intel Core i7-5700HQ @ 2.70GHz,5941,7,
969,Intel Core i5-8250U @ 1.60GHz,5938,7,
970,Intel Xeon E5-2650L @ 1.80GHz,5929,7,
971,Intel Core i7-8550U @ 1.80GHz,5922,7,
972,Intel Xeon E5-2440 @ 2.40GHz,5917,7,
973,Intel Xeon D-1528 @ 1.90GHz,5910,7,
974,Intel Core i7-5700EQ @ 2.60GHz,5905,7,
975,Intel Core i7 965 @ 3.20GHz,5904,7,
976,Intel Xeon E5-2430L v2 @ 2.40GHz,5903,7,
977,Intel Xeon E3-1225 v5 @ 3.30GHz,5897,7,
978,AMD Ryzen 3 PRO 2200GE,5892,7,
979,AMD Opteron 6378,5889,7,
980,Intel Xeon E5-1620 @ 3.60GHz,5868,7,
981,Intel Xeon E5-2430 @ 2.20GHz,5867,7,
982,Intel Xeon E5-1410 v2 @ 2.80GHz,5842,7,
983,AMD Ryzen 3 3300U,5837,7,
984,Intel Core i3-8300T @ 3.20GHz,5827,7,
985,Intel Core i7-4800MQ @ 2.70GHz,5824,7,
986,Intel Xeon X5650 @ 2.67GHz,5822,7,
987,AMD Ryzen 3 3350U,5822,7,
988,Intel Core i7-4710MQ @ 2.50GHz,5816,7,
989,Intel Xeon D-1521 @ 2.40GHz,5803,7,
990,Intel Atom C3955 @ 2.10GHz,5803,7,
991,AMD A10-7800 Radeon R7,score,percentage,7
992,AMD A10-7800,5786,7,
993,AMD Opteron 4274 HE,5776,7,
994,Intel Core i7-3820QM @ 2.70GHz,5775,7,
995,Intel Xeon E5-2450L @ 1.80GHz,5769,7,
996,Intel Core i7-3920XM @ 2.90GHz,5767,7,
997,QEMU Virtual version 1.7.90,5759,7,
998,Intel Core i7-3820 @ 3.60GHz,5755,7,
999,Intel 0000 @ 2.20GHz,5742,7,
1000,Intel Core i7-4720HQ @ 2.60GHz,5730,7,
1001,AMD A10-7850K APU with Radeon R7 Graphics,5719,7,
1002,Intel Xeon E3-1220 v6 @ 3.00GHz,5717,7,
1003,Intel Core i5-5675R @ 3.10GHz,5715,7,
1004,Intel Core i5-7440EQ @ 2.90GHz,5711,7,
1005,Intel Core i7 880 @ 3.07GHz,5708,7,
1006,Intel Core i7-4750HQ @ 2.00GHz,5695,6,
1007,AMD A10 PRO-7800B R7,score,percentage,6
1008,Intel Xeon E3-1205 v6 @ 3.00GHz,5682,6,
1009,Intel Core i7-3740QM @ 2.70GHz,5679,6,
1010,AMD A10-7850K Radeon R7,score,percentage,6
1011,Intel Core i3-9100T @ 3.10GHz,5660,6,
1012,Intel Core i5-6600T @ 2.70GHz,5651,6,
1013,Intel Core i7 950 @ 3.07GHz,5648,6,
1014,Intel Xeon D-1559 @ 1.50GHz,5647,6,
1015,Intel Core i5-6500 @ 3.20GHz,5640,6,
1016,Intel Core i7-2700K @ 3.50GHz,5636,6,
1017,Intel Core i7-3940XM @ 3.00GHz,5627,6,
1018,AMD Opteron 6238,5625,6,
1019,Intel Core i7-4722HQ @ 2.40GHz,5620,6,
1020,Intel Core i7-3720QM @ 2.60GHz,5611,6,
1021,Intel Core i5-4690K @ 3.50GHz,5594,6,
1022,Intel Core i5-4690 @ 3.50GHz,5590,6,
1023,Intel Core i5-7440HQ @ 2.80GHz,5590,6,
1024,AMD Opteron 6376,5572,6,
1025,Intel Core i7-3770T @ 2.50GHz,5569,6,
1026,AMD A8 PRO-7600B R7,score,percentage,6
1027,Intel Core i5-8365UE @ 1.60GHz,5555,6,
1028,AMD A10-7850K,5523,6,
1029,Intel Core i5-6402P @ 2.80GHz,5519,6,
1030,Intel Core i5-4670K @ 3.40GHz,5518,6,
1031,Intel Core i5-7400 @ 3.00GHz,5514,6,
1032,Intel Xeon E3-1280 @ 3.50GHz,5510,6,
1033,Intel Xeon E5-2643 @ 3.30GHz,5510,6,
1034,Intel Core i7-4700HQ @ 2.40GHz,5502,6,
1035,Intel Core i7-4860EQ @ 1.80GHz,5500,6,
1036,Intel Core i5-5675C @ 3.10GHz,5498,6,
1037,Intel Xeon E3-1220 v5 @ 3.00GHz,5494,6,
1038,AMD Ryzen Embedded V1404I,5491,6,
1039,Intel Core i7 870 @ 2.93GHz,5481,6,
1040,Intel Core i7-4710HQ @ 2.50GHz,5473,6,
1041,Intel Core i7-2600K @ 3.40GHz,5468,6,
1042,Intel Core i5-4690S @ 3.20GHz,5462,6,
1043,AMD Ryzen 3 2300U,5460,6,
1044,Intel Core i7 940 @ 2.93GHz,5459,6,
1045,Intel Core i5-760S @ 2.53GHz,5440,6,
1046,AMD A10-7700K APU with Radeon R7 Graphics,5439,6,
1047,ARM Cortex-A72 16 Core 0 MHz,5435,6,
1048,Intel Xeon E3-1226 v3 @ 3.30GHz,5434,6,
1049,Intel Core i7 K 875 @ 2.93GHz,5430,6,
1050,Intel Pentium Gold 7505 @ 2.00GHz,5414,6,
1051,Intel Core i5-4670 @ 3.40GHz,5410,6,
1052,Intel Core i7-4785T @ 2.20GHz,5400,6,
1053,AMD FX-8320 Eight-Core,5395,6,
1054,Intel Xeon E3-1275 @ 3.40GHz,5381,6,
1055,Intel Xeon E3-1270 @ 3.40GHz,5376,6,
1056,Intel Core i5-6440EQ @ 2.70GHz,5368,6,
1057,Intel Core i5-7500T @ 2.70GHz,5366,6,
1058,Intel Core 870 @ 2.93GHz,5353,6,
1059,Intel Core i7-3615QE @ 2.30GHz,5334,6,
1060,Intel Xeon E3-1268L v3 @ 2.30GHz,5333,6,
1061,Intel Core i7-2600 @ 3.40GHz,5331,6,
1062,Intel Xeon E3-1240 @ 3.30GHz,5331,6,
1063,Intel Core i3-8100T @ 3.10GHz,5326,6,
1064,Intel Xeon E3-1245 @ 3.30GHz,5323,6,
1065,Intel Core i5-4590 @ 3.30GHz,5319,6,
1066,Intel Core i7-4700MQ @ 2.40GHz,5315,6,
1067,Intel Xeon X5687 @ 3.60GHz,5308,6,
1068,Intel Xeon E5-2630L @ 2.00GHz,5305,6,
1069,Intel Xeon E3-1240L v3 @ 2.00GHz,5304,6,
1070,AMD A10-7700K,5303,6,
1071,Intel Core i7-10510Y @ 1.20GHz,5289,6,
1072,AMD A10-7700K Radeon R7,score,percentage,6
1073,AMD Opteron 6274,5286,6,
1074,vendor Kirin9000,5276,6,
1075,Intel Xeon E5-2430L @ 2.00GHz,5273,6,
1076,Intel Xeon E3-1225 v3 @ 3.20GHz,5268,6,
1077,Intel Xeon E5-2620 @ 2.00GHz,5264,6,
1078,ARM Neoverse-N1 8 Core 0 MHz,5264,6,
1079,AMD Opteron 6328,5246,6,
1080,AMD FX-8300 Eight-Core,5244,6,
1081,Intel Core i7-6822EQ @ 2.00GHz,5241,6,
1082,AMD Opteron 6272,5240,6,
1083,Intel Core i5-4670R @ 3.00GHz,5233,6,
1084,AMD FX-8370E Eight-Core,5229,6,
1085,Intel Xeon E5-1607 v4 @ 3.10GHz,5228,6,
1086,AMD A8-7600 Radeon R7,score,percentage,6
1087,Intel Core i7 930 @ 2.80GHz,5213,6,
1088,Intel Xeon X5677 @ 3.47GHz,5210,6,
1089,Intel Core i3-1005G1 @ 1.20GHz,5203,6,
1090,Intel Core i5-5575R @ 2.80GHz,5199,6,
1091,Intel Core i7-3615QM @ 2.30GHz,5196,6,
1092,Intel @ 0000 @ 2.67GHz,5189,6,
1093,Intel Xeon E5-2420 @ 1.90GHz,5173,6,
1094,Intel Core i7-4712MQ @ 2.30GHz,5172,6,
1095,Intel Core i5-6440HQ @ 2.60GHz,5169,6,
1096,AMD FX-8310 Eight-Core,5164,6,
1097,Intel Core i7-4702HQ @ 2.20GHz,5160,6,
1098,Intel Core i5-4570 @ 3.20GHz,5158,6,
1099,Intel Core i5-6400 @ 2.70GHz,5151,6,
1100,Intel Core i7-4712HQ @ 2.30GHz,5144,6,
1101,Intel 0000 @ 1.90GHz,5136,6,
1102,Intel Xeon X5672 @ 3.20GHz,5123,6,
1103,Intel Xeon E3-1220 v3 @ 3.10GHz,5121,6,
1104,Intel Core i5-7300HQ @ 2.50GHz,5111,6,
1105,Qualcomm Technologies,score,percentage,6
1106,Intel Core i7-3610QM @ 2.30GHz,5100,6,
1107,Intel Core i5-4590S @ 3.00GHz,5100,6,
1108,Intel Core i7-4702MQ @ 2.20GHz,5099,6,
1109,Intel Core i7-3630QM @ 2.40GHz,5097,6,
1110,AMD FX-8150 Eight-Core,5077,6,
1111,Intel Core i5-4670S @ 3.10GHz,5066,6,
1112,Intel Xeon Bronze 3204 @ 1.90GHz,5060,6,
1113,Intel Xeon W-2102 @ 2.90GHz,5056,6,
1114,Intel Core i7 S 870 @ 2.67GHz,5052,6,
1115,Intel Core i5-6500TE @ 2.30GHz,5044,6,
1116,06/8c,5040,6,
1117,Intel Xeon E3-1230 @ 3.20GHz,5037,6,
1118,Intel Core i5-4670K CPT @ 3.40GHz,5034,6,
1119,MT6893Z_D/CZA,5025,6,
1120,Qualcomm Technologies,score,percentage,6
1121,Intel Xeon E3-1235L v5 @ 2.00GHz,5013,6,
1122,Intel Core i7 920 @ 2.67GHz,5004,6,
1123,Hisilicon Kirin9000,4989,6,
1124,Intel Xeon E3-1290 @ 3.60GHz,4988,6,
1125,Intel Xeon E5-1607 v3 @ 3.10GHz,4976,6,
1126,Intel Core i7-4765T @ 2.00GHz,4958,6,
1127,AMD FX-8140 Eight-Core,4953,6,
1128,AMD FX-8320E Eight-Core,4946,6,
1129,Intel Core i7-4700EQ @ 2.40GHz,4941,6,
1130,Intel Xeon E5649 @ 2.53GHz,4936,6,
1131,Intel Xeon E5645 @ 2.40GHz,4932,6,
1132,Intel Core i5-3570K @ 3.40GHz,4923,6,
1133,MT6893Z/CZA,4911,6,
1134,Intel Core i5-4570S @ 2.90GHz,4900,6,
1135,Intel Core i5-3570 @ 3.40GHz,4880,6,
1136,AMD Opteron 6366 HE,4858,6,
1137,Intel Core i7 S 860 @ 2.53GHz,4856,6,
1138,Samsung Technologies,score,percentage,6
1139,Apple A13 Bionic,4839,6,
1140,Intel Xeon E3-1505L v5 @ 2.00GHz,4838,6,
1141,Intel Core i5-10210Y @ 1.00GHz,4836,6,
1142,Intel Core i3-7320 @ 4.10GHz,4835,6,
1143,Intel Core i5-7442EQ @ 2.10GHz,4834,6,
1144,MT6893Z_A/CZA,4827,5,
1145,Intel Core i5-4570R @ 2.70GHz,4823,5,
1146,Intel Xeon E5-1603 v4 @ 2.80GHz,4812,5,
1147,Qualcomm Technologies,score,percentage,5
1148,Intel Core i5-6500T @ 2.50GHz,4805,5,
1149,Intel Core i5-4460 @ 3.20GHz,4800,5,
1150,Intel Xeon D-1518 @ 2.20GHz,4784,5,
1151,Intel Core i3-7350K @ 4.20GHz,4784,5,
1152,Intel Core i7-3612QE @ 2.10GHz,4783,5,
1153,Venus based on Qualcomm Technologies,score,percentage,5
1154,Intel Core i7-3635QM @ 2.40GHz,4775,5,
1155,Intel Core i5-3550 @ 3.30GHz,4773,5,
1156,Intel Core i7-3610QE @ 2.30GHz,4767,5,
1157,Intel Xeon E3-1230L v3 @ 1.80GHz,4764,5,
1158,Intel Core i3-7300 @ 4.00GHz,4761,5,
1159,MT6891,4758,5,
1160,ARM Neoverse-N1 6 Core 0 MHz,4756,5,
1161,Intel Xeon E3-1225 V2 @ 3.20GHz,4756,5,
1162,AMD Opteron 6220,4753,5,
1163,Intel Core i5-4470S @ 3.00GHz,4742,5,
1164,Intel Pentium 6805 @ 1.10GHz,4735,5,
1165,vendor Kirin9000E,4728,5,
1166,Intel Xeon E3-1235 @ 3.20GHz,4725,5,
1167,Intel Xeon E3-1265L V2 @ 2.50GHz,4711,5,
1168,Intel Xeon E5-2603 v4 @ 1.70GHz,4695,5,
1169,Qualcomm Technologies,score,percentage,5
1170,Intel Core i5-4440 @ 3.10GHz,4686,5,
1171,Intel Xeon E3-1220 V2 @ 3.10GHz,4683,5,
1172,Intel Core i5-6300HQ @ 2.30GHz,4682,5,
1173,Intel Atom C3758 @ 2.20GHz,4675,5,
1174,MT6893,4675,5,
1175,Intel Core i5-7400T @ 2.40GHz,4670,5,
1176,AMD Opteron 4284,4665,5,
1177,Intel Core i5-3470 @ 3.20GHz,4640,5,
1178,Intel Xeon E5-1410 @ 2.80GHz,4634,5,
1179,AMD Athlon Silver PRO 3125GE,4633,5,
1180,Intel Xeon Bronze 3104 @ 1.70GHz,4627,5,
1181,AMD FX-7600P APU with AMD Radeon R7 Graphics,4627,5,
1182,AMD Athlon 300GE,4609,5,
1183,Intel Core i5-4430 @ 3.00GHz,4604,5,
1184,Mars based on Qualcomm Technologies,score,percentage,5
1185,Intel Xeon L5640 @ 2.27GHz,4591,5,
1186,Intel Core i5-3570S @ 3.10GHz,4586,5,
1187,Qualcomm Snapdragon 8350,4586,5,
1188,Star based on Qualcomm Technologies,score,percentage,5
1189,Qualcomm Technologies,score,percentage,5
1190,Intel Core i7-3632QM @ 2.20GHz,4558,5,
1191,AMD FX-8120 Eight-Core,4556,5,
1192,Intel Core i7-2860QM @ 2.50GHz,4552,5,
1193,AMD Athlon Silver 3050GE,4545,5,
1194,AMD Athlon 240GE,4538,5,
1195,AMD Athlon 220GE,4538,5,
1196,Intel Pentium Gold G6605 @ 4.30GHz,4536,5,
1197,Intel Xeon X5667 @ 3.07GHz,4534,5,
1198,AMD Athlon PRO 300GE,4528,5,
1199,Haydn based on Qualcomm Technologies,score,percentage,5
1200,Intel Xeon X5647 @ 2.93GHz,4522,5,
1201,Intel Core i5-6442EQ @ 1.90GHz,4519,5,
1202,Intel Core i7-3612QM @ 2.10GHz,4504,5,
1203,Intel Core i5-4460S @ 2.90GHz,4504,5,
1204,AMD Opteron 4280,4504,5,
1205,Intel Core i3-9100TE @ 2.20GHz,4501,5,
1206,Apple A12 Bionic,4494,5,
1207,Intel Core i5-4690T @ 2.50GHz,4492,5,
1208,Samsung Exynos 2100,4485,5,
1209,Intel Core i5-3450 @ 3.10GHz,4476,5,
1210,Intel Core i5-3550S @ 3.00GHz,4475,5,
1211,AMD FX-6350 Six-Core,4469,5,
1212,A8-7600B Radeon R7,score,percentage,5
1213,AMD Athlon 3000G,4468,5,
1214,Intel Xeon E5-1603 v3 @ 2.80GHz,4467,5,
1215,AMD FX-6330 Six-Core,4455,5,
1216,Intel Core i7-2760QM @ 2.40GHz,4437,5,
1217,Qualcomm Technologies,score,percentage,5
1218,Intel Core i7-2960XM @ 2.70GHz,4423,5,
1219,Intel Xeon L5639 @ 2.13GHz,4419,5,
1220,Hisilicon Kirin990,4417,5,
1221,SM8350,4398,5,
1222,Intel Pentium Gold G6600 @ 4.20GHz,4396,5,
1223,Intel Xeon E5-2609 v3 @ 1.90GHz,4391,5,
1224,Intel Core i3-6300 @ 3.80GHz,4382,5,
1225,AMD Opteron 4386,4378,5,
1226,Intel Pentium Gold G6505 @ 4.20GHz,4378,5,
1227,Intel Core i7-2600S @ 2.80GHz,4373,5,
1228,Qualcomm Snapdragon 7325,4372,5,
1229,AMD Athlon 320GE,4370,5,
1230,Intel Core i3-8121U @ 2.20GHz,4369,5,
1231,vendor Kirin990,4366,5,
1232,Intel Core i7-2820QM @ 2.30GHz,4362,5,
1233,Intel Core X 920 @ 2.00GHz,4361,5,
1234,Intel Core i3-6320 @ 3.90GHz,4354,5,
1235,AMD FX-6130 Six-Core,4353,5,
1236,Intel Core i7-7567U @ 3.50GHz,4334,5,
1237,Intel Core i5-4670T @ 2.30GHz,4333,5,
1238,Intel Core i3-8109U @ 3.00GHz,4332,5,
1239,Vili based on Qualcomm Technologies,score,percentage,5
1240,Intel Core i5-3470S @ 2.90GHz,4315,5,
1241,Intel Core i3-7100 @ 3.90GHz,4311,5,
1242,AMD Phenom II X4 40,4304,5,
1243,Intel Core i5-6400T @ 2.20GHz,4290,5,
1244,Intel Pentium Gold G6405 @ 4.10GHz,4290,5,
1245,AMD Ryzen 3 PRO 2100GE,4286,5,
1246,Intel Atom C3958 @ 2.00GHz,4281,5,
1247,Intel Core i5-3450S @ 2.80GHz,4264,5,
1248,Intel Xeon E5-1607 v2 @ 3.00GHz,4259,5,
1249,Intel Core i7-4770TE @ 2.30GHz,4257,5,
1250,Intel Core i5-6350HQ @ 2.30GHz,4255,5,
1251,AMD Ryzen Embedded R1606G,4248,5,
1252,Intel Xeon E5-2648L @ 1.80GHz,4235,5,
1253,AMD Ryzen 5 3500C,4235,5,
1254,Intel Core i7-2920XM @ 2.50GHz,4216,5,
1255,Renoir based on Qualcomm Technologies,score,percentage,5
1256,Microsoft SQ2 @ 3.15 GHz,4205,5,
1257,Intel Core i5-4440S @ 2.80GHz,4198,5,
1258,AMD Ryzen Embedded V1500B,4194,5,
1259,Intel Core i7-7660U @ 2.50GHz,4191,5,
1260,Intel Pentium Gold G6500 @ 4.10GHz,4191,5,
1261,Intel Core i5-3350P @ 3.10GHz,4181,5,
1262,Intel Core i7 X 940 @ 2.13GHz,4179,5,
1263,Intel Core i5-3570T @ 2.30GHz,4168,5,
1264,Intel Core i3-6100 @ 3.70GHz,4164,5,
1265,Intel Core i5-3340 @ 3.10GHz,4163,5,
1266,AMD Athlon 200GE,4163,5,
1267,Hisilicon Kirin985,4162,5,
1268,Intel Pentium Gold G5600F @ 3.90GHz,4160,5,
1269,Intel Core i3-7300T @ 3.50GHz,4159,5,
1270,Intel Core i5-7287U @ 3.30GHz,4149,5,
1271,Intel Pentium Silver N6005 @ 2.00GHz,4143,5,
1272,AMD FX-6300 Six-Core,4140,5,
1273,AMD Athlon PRO 200GE,4139,5,
1274,Intel Core i5-3475S @ 2.90GHz,4136,5,
1275,AMD Opteron 3380,4134,5,
1276,AMD Eng Sample Mobile 2185_A1,4134,5,
1277,Intel Pentium Gold G6400 @ 4.00GHz,4133,5,
1278,Intel Core i3-8145UE @ 2.20GHz,4133,5,
1279,Intel Core i3-6098P @ 3.60GHz,4112,5,
1280,Snapdragon 8cx Gen 2 @ 3.1,4103,5,
1281,Intel Core i5-7360U @ 2.30GHz,4102,5,
1282,Intel Pentium Gold G5620 @ 4.00GHz,4102,5,
1283,MT6889Z/CZA,4091,5,
1284,Intel Core i5-2550K @ 3.40GHz,4090,5,
1285,Intel Core i5-2500K @ 3.30GHz,4084,5,
1286,AMD Athlon Gold 3150U,4080,5,
1287,Intel Core i5-2500 @ 3.30GHz,4079,5,
1288,Intel Celeron J6413 @ 1.80GHz,4075,5,
1289,AMD Opteron 6234,4072,5,
1290,Intel Core i5-3330 @ 3.00GHz,4065,5,
1291,vendor Kirin980,4065,5,
1292,Intel Core i7-2720QM @ 2.20GHz,4064,5,
1293,Intel Core i3-10110U @ 2.10GHz,4053,5,
1294,Intel Core i5-3340S @ 2.80GHz,4052,5,
1295,Intel Celeron J6412 @ 2.00GHz,4051,5,
1296,Intel Core i3-6300T @ 3.30GHz,4040,5,
1297,Intel Core i5-4590T @ 2.00GHz,4039,5,
1298,Apple A11 Bionic,4036,5,
1299,AMD Ryzen 3 3250U,4021,5,
1300,Intel Xeon E5640 @ 2.67GHz,4018,5,
1301,AMD Phenom II X4 20,4012,5,
1302,AMD FX-6200 Six-Core,4010,5,
1303,ARM Cortex-A72 4 Core 0 MHz,4010,5,
1304,Intel Core i5-4430S @ 2.70GHz,4008,5,
1305,AMD Opteron 6212,4007,5,
1306,AMD Athlon 300U,4006,5,
1307,Intel Pentium Gold G6500T @ 3.50GHz,4005,5,
1308,Intel Core i3-7101TE @ 3.40GHz,3985,5,
1309,Microsoft ARM SQ1 @ 3.0 GHz,3983,5,
1310,Intel Xeon E3-1260L @ 2.40GHz,3981,5,
1311,Intel Core i5-2450P @ 3.20GHz,3974,5,
1312,AMD Opteron 3365,3973,5,
1313,lisa based Qualcomm Technologies,score,percentage,5
1314,AMD Ryzen Embedded R1505G,3966,5,
1315,Intel Core i3-1000NG4 @ 1.10GHz,3963,5,
1316,AMD Opteron 4334,3949,4,
1317,Intel Core2 Quad Q9705 @ 3.16GHz,3947,4,
1318,AMD Phenom Ultra X4 24500,3945,4,
1319,Intel Core i5-7267U @ 3.10GHz,3938,4,
1320,AMD Ryzen 3 3200U,3929,4,
1321,Intel Core i5 760 @ 2.80GHz,3929,4,
1322,Intel Core i7-985 @ 3.47GHz,3928,4,
1323,ARM Cortex-A72 8 Core 0 MHz,3906,4,
1324,AMD Ryzen 5 3500C with Radeon Vega Mobile Gfx,3889,4,
1325,AMD FX-6120 Six-Core,3886,4,
1326,Hisilicon Kirin980,3885,4,
1327,AMD A8-7500,3878,4,
1328,AMD PRO A12-9800,3878,4,
1329,Intel Core i7-6660U @ 2.40GHz,3873,4,
1330,Intel Core i5-7260U @ 2.20GHz,3868,4,
1331,Intel Core i7-6567U @ 3.30GHz,3863,4,
1332,Intel Core i5-6287U @ 3.10GHz,3853,4,
1333,06/8e,3848,4,
1334,AMD PRO A12-8870,3848,4,
1335,AMD FX-8100 Eight-Core,3847,4,
1336,Intel Core i7-2840QM @ 2.40GHz,3842,4,
1337,Intel Core i3-7100T @ 3.40GHz,3841,4,
1338,Intel Core i5-3330S @ 2.70GHz,3840,4,
1339,Qualcomm Technologies,score,percentage,4
1340,Intel Core i3-8145U @ 2.10GHz,3826,4,
1341,Qualcomm Technologies,score,percentage,4
1342,AMD Ryzen Embedded V1202B,3823,4,
1343,Intel Core i5-2400 @ 3.10GHz,3821,4,
1344,Intel Celeron N5105 @ 2.00GHz,3803,4,
1345,Intel Pentium G4620 @ 3.70GHz,3802,4,
1346,Intel Core i7-7560U @ 2.40GHz,3798,4,
1347,Intel Core i7-2670QM @ 2.20GHz,3797,4,
1348,Intel Core i5-2380P @ 3.10GHz,3797,4,
1349,Intel Xeon E3-1220 @ 3.10GHz,3788,4,
1350,AMD Athlon X4 845,3779,4,
1351,Intel Xeon E3-1225 @ 3.10GHz,3776,4,
1352,Intel Pentium Gold G5600 @ 3.90GHz,3769,4,
1353,Odin based on Qualcomm Technologies,score,percentage,4
1354,Intel Pentium N6415 @ 1.20GHz,3760,4,
1355,Intel Core i5-3335S @ 2.70GHz,3754,4,
1356,AMD PRO A10-8850B,3752,4,
1357,Intel Core i5-7300U @ 2.60GHz,3748,4,
1358,Intel Pentium Gold G6405T @ 3.50GHz,3746,4,
1359,Intel Core i5 750 @ 2.67GHz,3745,4,
1360,ZHAOXIN KaiXian KX-U6780A@2.7GHz,3744,4,
1361,Intel Xeon E5-1607 @ 3.00GHz,3742,4,
1362,Intel Xeon E5630 @ 2.53GHz,3732,4,
1363,Intel Xeon E5-2603 v3 @ 1.60GHz,3726,4,
1364,AMD Opteron 3280,3720,4,
1365,Intel Pentium Gold G5400 @ 3.70GHz,3720,4,
1366,Intel Core i3-4370 @ 3.80GHz,3719,4,
1367,Intel Pentium Gold G5420T @ 3.20GHz,3716,4,
1368,Intel Pentium Gold G5500 @ 3.80GHz,3715,4,
1369,Intel Xeon L5506 @ 2.13GHz,3715,4,
1370,AMD Opteron 4332 HE,3715,4,
1371,Intel Core i7-2710QE @ 2.10GHz,3704,4,
1372,AMD Phenom II X6 1100T,3699,4,
1373,AMD Opteron 6174,3697,4,
1374,Intel Xeon E5620 @ 2.40GHz,3693,4,
1375,Intel Core i7 920XM @ 2.00GHz,3685,4,
1376,Intel Core i3-8130U @ 2.20GHz,3681,4,
1377,AMD FX-6100 Six-Core,3667,4,
1378,Intel Xeon E5-2609 v2 @ 2.50GHz,3666,4,
1379,AMD A9-9820,3662,4,
1380,AMD Athlon X4 880K,3661,4,
1381,AMD Ryzen 3 2200U,3660,4,
1382,Intel Core i3-4360 @ 3.70GHz,3657,4,
1383,Snapdragon 8cx @ 2.84 GHz,3655,4,
1384,Intel Core i7-7500U @ 2.70GHz,3650,4,
1385,Intel Core i7-7600U @ 2.80GHz,3643,4,
1386,Intel Core i5-2320 @ 3.00GHz,3631,4,
1387,Intel Core i7-6650U @ 2.20GHz,3618,4,
1388,AMD Athlon X4 950,3617,4,
1389,AMD Phenom FX-7750 Quad-Core,3616,4,
1390,Intel Pentium Silver J5040 @ 2.00GHz,3611,4,
1391,Intel Pentium Gold G6400T @ 3.40GHz,3610,4,
1392,MediaTek MT6873,3609,4,
1393,Intel Core i3-4340 @ 3.60GHz,3606,4,
1394,Intel Pentium G4600 @ 3.60GHz,3606,4,
1395,AMD Phenom II X6 1090T,3600,4,
1396,AMD Phenom II X4 10,3599,4,
1397,AMD PRO A10-9700,3596,4,
1398,AMD Athlon X4 645,3595,4,
1399,Intel Xeon E3-1265L @ 2.40GHz,3589,4,
1400,Intel Core i3-4170 @ 3.70GHz,3580,4,
1401,Intel Core i3-6100T @ 3.20GHz,3576,4,
1402,Intel Core i5-4460T @ 1.90GHz,3574,4,
1403,AMD A8-7680,3571,4,
1404,AMD Opteron 6176 SE,3564,4,
1405,Intel Core i3-4330 @ 3.50GHz,3563,4,
1406,MT6875,3561,4,
1407,Intel Core i5 680 @ 3.60GHz,3555,4,
1408,AMD A10-7890K,3541,4,
1409,AMD Opteron 2386 SE,3538,4,
1410,AMD A10-9700,3536,4,
1411,Intel Core i7-2630QM @ 2.00GHz,3532,4,
1412,Intel Pentium Gold G5420 @ 3.80GHz,3530,4,
1413,AMD A10-8850,3525,4,
1414,Intel Core i5-2310 @ 2.90GHz,3519,4,
1415,Intel Xeon E5-2418L @ 2.00GHz,3518,4,
1416,AMD PRO A10-8770,3518,4,
1417,Intel Pentium G4560 @ 3.50GHz,3517,4,
1418,MT6877V/ZA,3514,4,
1419,Intel Core i7-6600U @ 2.60GHz,3513,4,
1420,Intel Xeon E5-2407 v2 @ 2.40GHz,3504,4,
1421,Intel Xeon E5-1603 @ 2.80GHz,3489,4,
1422,AMD Phenom II 42 TWKR Black Edition,3489,4,
1423,AMD A10-7870K,3488,4,
1424,AMD Opteron 6164 HE,3478,4,
1425,Intel Xeon W3580 @ 3.33GHz,3474,4,
1426,Intel Core i7 Q 840 @ 1.87GHz,3472,4,
1427,Intel Core i7-2635QM @ 2.00GHz,3466,4,
1428,Intel Core i5-4340M @ 2.90GHz,3464,4,
1429,Intel Core i3-4160 @ 3.60GHz,3463,4,
1430,AMD A10 PRO-7850B APU,3458,4,
1431,Intel Xeon X5698 @ 4.40GHz,3447,4,
1432,Intel Core i3-10100Y @ 1.30GHz,3447,4,
1433,AMD A12-9800E,3438,4,
1434,AMD Athlon X4 860K,3435,4,
1435,Intel Core i5-6267U @ 2.90GHz,3433,4,
